filter,Ampl(x)/Ampl(G)_tot,Ampl(x)/Ampl(G)_ab,Ampl(x)/Ampl(G)_c,stdAmpl(x)/Ampl(G)_tot,stdAmpl(x)/Ampl(G)_ab,stdAmpl(x)/Ampl(G)_c
1,1.27789259503609,1.2782808873528473,1.2769028831146576,0.04780054247032751,0.051620368290088356,0.03797079932906134
2,0.9050526969907883,0.907682480477232,0.8991880933759018,0.03354803384095243,0.038720333725892064,0.029368775713139835
3,-99.0,0.710745119101851,0.68565277350624,-99.0,0.05477728350104481,0.02957705407168205
4,-99.0,0.6787334352936758,0.6257728884015301,-99.0,0.07592390979690612,0.033171473618190506
