filter,Ampl(x)/Ampl(g)_tot0003,Ampl(x)/Ampl(g)_ab0003,Ampl(x)/Ampl(g)_c0003,stdAmpl(x)/Ampl(g)_tot0003,stdAmpl(x)/Ampl(g)_ab0003,stdAmpl(x)/Ampl(g)_c0003
0,0.9266208665069449,0.9439815016202032,0.8773008803897338,0.04690470784070072,0.042546330455971865,0.004350293043922165
2,0.7471260530560381,0.7448439878986498,0.7536091927077094,0.01385258706843626,0.014258316361971515,0.01013244140496327
3,0.593854915363104,0.591885569341517,0.5994496483789763,0.019350451182793056,0.019506346948884,0.01774575549380543
4,0.5187435543129195,0.5162189791741919,0.5259156427752143,0.02527987169342867,0.026631964974925714,0.01923861173416114
5,0.5117754789652502,0.5054026942667854,0.5298799809495254,0.03323180210576373,0.03554734336607425,0.014448450003430625
