filter,Ampl(x)/Ampl(g)_tot001,Ampl(x)/Ampl(g)_ab001,Ampl(x)/Ampl(g)_c001,stdAmpl(x)/Ampl(g)_tot001,stdAmpl(x)/Ampl(g)_ab001,stdAmpl(x)/Ampl(g)_c001
0,0.9562797329250036,0.9737673729953396,0.9032526952923718,0.04200057724638727,0.03327132519671301,0.004154752668365291
2,0.7457141775964865,0.7434906339048004,0.7524565358874058,0.011411716443137598,0.01073361130702003,0.010738293390023367
3,0.5946995102739138,0.5929305179073027,0.6000635516436377,0.016761107772287735,0.015854450733985257,0.018230198298824777
4,0.5231681988302708,0.5213900855835226,0.5285598970623456,0.021718110672190462,0.021954449053709295,0.02004298913255066
5,0.5175918966511837,0.5124786028375523,0.533096723053808,0.027508709522256133,0.02860311780300042,0.015837930292873278
