col1,index,degree,popt0,popt1,popt2,popt3,popt4,popt5,popt6,popt7,popt8,popt9,popt10,popt11,popt12,popt13,popt14,popt15,popt16,popt17,popt18,popt19,popt20,popt21,popt22,popt23,popt24,popt25,popt26,popt27,popt28,popt29,popt30,popt31,popt32,popt33,popt34,popt35,popt36,popt37,popt38,popt39,popt40,popt41,popt42,popt43,popt44,popt45,popt46,popt47,popt48,popt49,popt50,popt51,popt52,popt53,popt54,popt55,popt56,popt57,popt58,popt59,popt60,popt61,popt62,popt63,popt64,popt65,popt66,popt67,popt68,popt69,popt70,popt71,popt72,popt73,popt74,popt75,popt76,popt77,popt78,popt79,popt80,templatebin,bin_threshold_lo,bin_threshold_hi,filter,n_rrls_in_bin,n_phasepoints_in_bin,npixels_x,npixels_y,n_bins_to_average_for_density,overall_sigma,pulsation_type
3,12,39,-0.35060210606572906,-1.1751659119752986,0.16751761105540397,1.5005581794417633,0.11922916447143413,1.405160019140207,0.07642789336619756,1.3379438553429377,0.0475866902607897,1.3295926588842917,0.026333662102202064,1.2228832466421908,0.015828728959442796,1.0239441577596784,0.010556384365930968,0.9402369178992754,0.006696238644759462,0.974237090505304,0.003391626021062732,1.219017310831691,-0.0015748689044863767,-1.2039614809047516,-0.0021276949909831712,-0.12281586642865937,-0.003228851416565894,0.08479893593980899,-0.0037010533374435143,0.05884936227731796,-0.004195790386107648,0.0352896280144134,-0.00429304614463782,-0.07802296946500295,-0.004691947197214236,-0.22764666619575108,-0.00533326799781857,-0.31453833767314815,-0.00495466304388062,-0.4485890020867483,-0.00471612608978559,-0.660607357754101,-0.004718704235465128,-0.7977130479770829,-0.004338655999305801,-0.9529380995621061,-0.0042494505059050185,-1.1538446893569048,-0.0035398307466618264,-1.1740752468789357,-0.0034826717850918415,-7.6870103012163735,-0.0033415777760232275,-1.4797881175664738,0.0029709681392744436,1.5260630000470394,0.0024909481279783087,1.2770771956657576,0.0024854217645727318,1.0567167476311718,0.0021799629567736166,0.9727137764574318,0.0019673317361237927,0.7187123686133464,0.0014453916668672236,0.36049168355265937,0.001153818339456011,0.30783093799164146,0.001204560905428304,0.30185550037102366,8.531725760724374E-4,0.07392306978489446,6.864126154780618E-4,-0.16816402711406508,1.698263701994833E-4,-0.30520796136457173,-2.758354326390085E-4,1.4408637437308678,-2.4198066747956726E-4,0.6414845133143459,0.04715731904310171,,,3,0.53,0.59,2,3541,1178347,500,500,8,1.7326001733759496E-4,0
4,13,29,0.3641063947593032,-4.390933320187436,-0.16968724793365203,4.576389152402567,0.11196286475962476,1.333406959548779,0.06407383924155698,1.3058528250878485,-0.031085307268700877,4.469253810442994,0.014741350739895215,1.3112207565603475,-0.008239956762224375,4.652649183257479,-0.006142663397219281,-7.515538514628812,-0.005772032890128468,-0.9184994465308302,-0.005359619783333682,-0.7299128121881294,-0.005740395588168187,-0.5557039394364427,-0.005872142287473002,-0.4663430192866433,-0.006722147755000724,-0.4468415707442505,-0.006860380488629492,-0.45791095691916034,-0.00707125149942144,-0.6990601174237361,-0.006560112118936446,-0.9549164641417803,-0.005595098710844868,-1.160677271524469,-0.0050383382017655035,-1.369959482944036,0.004509319972413011,1.6480605971576452,0.004026971526795502,1.5024835555752707,0.003711774964366501,1.3985626258023993,0.0036755291286307426,1.1536195897334143,0.0032031282982739194,0.7425527126610435,0.0021047664781139452,0.41226249520196145,0.001808976090011066,0.1559874584721706,0.0015837721332285276,-0.10522452932046736,7.131936415804936E-4,0.08150358475811623,8.674947704458968E-4,-0.06606377831976258,9.03455075593606E-4,-0.9559341080264057,0.04068509731536183,,,,,,,,,,,,,,,,,,,,,,,4,0.59,0.62,2,1973,680613,200,300,10,3.6122637025365177E-4,0
5,14,19,0.3819072113031533,-4.440904771191007,-0.16486709175579917,4.534624003527606,0.09888222938290532,1.2960986820283844,-0.04917972553768998,4.497010658979216,-0.022754102092196603,4.643830112498576,0.012723936314777808,1.65487014069932,-0.009155361599763217,-1.3245054770302607,-0.00762694173185807,-1.0517760561783873,-0.0066375912697646125,-1.0349107387278578,-0.005333791635133977,-0.9412114911366104,-0.005291531436937,-0.7437823197366805,-0.00549434727579548,-0.7706878209578197,-0.005473082239643638,-0.8250164136283148,-0.0053278001331665175,-1.0345328770594224,-0.004549093952191884,-1.159913756015112,-0.0035504424500530244,-1.209850215631698,-0.0029663875686989473,-1.2679545864217212,0.002326156264124224,1.6055960105216465,0.0020530239565574454,-10.939364621803652,0.03513864777703945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.62,0.65,2,1447,509742,200,300,10,2.701226657380523E-4,0
6,15,24,0.3696842035702324,-4.438002154653036,-0.17103729104170795,4.588657386093657,-0.10724090868066845,4.483064029662306,-0.05631433069206122,4.513673362729673,-0.027732217553993754,4.506938913926983,0.014627627151423373,1.3643146287728734,0.008924104529466358,1.592822363981632,-0.007196611508702747,-1.334272264011459,-0.005890079471835936,-1.0778013146203804,-0.005232337535347458,-0.8036286906945795,-0.0051459082486234094,-0.552434726365152,-0.005835836607250957,-0.4910643523848639,-0.0061835202816277295,-0.6650358578355808,-0.005915544076135033,-0.7666592488864339,-0.005221449575793096,-0.9116440909998852,-0.00485741380412614,-1.0499453100964242,-0.003979935155146086,-1.1516718819258827,-0.003820301917778964,-1.2360193949583944,0.003343853721515,1.6474077426599953,0.0029151923515442985,1.3332060056448634,0.0026570981939428853,1.0581199531968424,0.0022965153008247556,1.0047551111098976,0.0011410488903916037,0.7764508928159124,7.894871469005233E-4,0.35340503281684454,0.03823736591896253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.65,0.71,2,1140,361019,200,300,10,2.442561607374332E-4,0
7,16,15,0.38111392538988326,1.7913730855758465,0.17107829334135863,1.4099875059993225,0.10018790442918372,1.3276907490102363,0.045309068164469946,1.3965382568558022,0.020634674251968625,1.4844406088791862,-0.012021004693936042,-1.361150729237521,-0.009419538118272668,-1.07193531063918,-0.008686386656555111,-0.9022414775899434,-0.00831453807507831,-0.8546626960838442,-0.0075795526801716254,-0.8254245317350547,-0.007565173774348553,-0.8284020823437561,-0.006711389953957339,-0.913499624579147,-0.005822506616647595,-1.1044846581557517,0.005170103725314073,-4.445564663147356,0.004620635428397295,1.7200633415406812,0.03237745528735618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.71,0.77,2,415,142495,200,300,10,4.4789417119894934E-4,0
8,17,14,0.3987641674673887,1.7083932881273585,0.16905207390963337,1.3799091982062321,0.08747540983575364,1.3583551189809653,0.03196012248623499,1.5003645676451087,-0.016154527272345856,-1.3002239747228195,-0.012232588660605887,-0.9045569074667597,-0.010193047851354628,-0.7948499892226062,-0.011033818450035763,-0.6883604985261251,-0.008762190525425954,-0.7449186767068655,-0.008119903011322652,-0.9370971216936063,-0.007008054639220553,-0.9984990808029891,-0.007297163842360936,-0.9642398121708438,-0.006205105691025875,-1.392477080379418,0.00352525086138513,1.4619954888710742,0.028542465639746075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.77,0.83,2,108,35247,100,150,5,8.817977104819766E-4,0
9,18,15,0.3273992569573753,-4.365964079452956,-0.1764266028091922,4.705768776259031,-0.11665697075497358,4.700684231006299,0.07536600186597164,1.4828751860208578,0.051639116142562794,1.4572504243382147,0.03342807029128518,1.3498175645703163,0.024532215990516432,1.1832346892386858,0.017570210218202792,1.0768428045880645,0.01323110850777772,1.0401389380779107,0.010099832261773887,0.864675388195114,0.007321885794271414,0.6372599786612049,0.004386787528814982,0.4722848167831745,0.002912293296468456,0.2761471040440416,0.002241795449161557,-0.16390836492707547,0.0018151493981245035,-0.5775287805737769,0.038037808894723614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.35,0.41,3,44,29142,200,300,10,4.730734606513905E-4,0
10,19,17,0.3375743707741623,-4.313736036663843,0.16180644704392955,1.5794720404596687,0.12093049975077913,1.4608915340882984,0.07737972784989293,1.40569069823615,0.05478542081022298,1.3229476435993504,0.03848740108567867,1.3220940554771607,0.02482234704874991,1.2242788700638887,0.01669020227755677,1.053167077572614,0.012467296503736536,0.8645233638522517,0.00968549425853312,0.7251553420618558,0.006943556124934789,0.6189277303922427,0.004757283898740152,0.7183299666116815,0.0027736460571916783,0.542926176317116,0.0015355425956843458,0.011758754351201176,0.0012842565330228933,-0.29992415910617554,0.001082336899319888,-0.4050410460682639,5.888913212057505E-4,-1.0782928100120874,0.04140204115178222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.41,0.47,3,566,301516,200,300,6,3.1699131184908684E-4,0
11,20,15,0.3350172688629358,-4.343842517223844,0.15871071648781257,1.5582341741269932,0.1202614731016201,1.4570423289485772,0.07919153680542708,1.3891847267727357,0.054867565308840766,1.35246425540319,0.035369861157754486,1.333479499113463,0.02191931487810399,1.1958772722867277,0.015328886547517588,1.0264990597916128,0.010787899697126357,0.9463907737520367,0.007363322923145146,0.8535827701963377,0.0054187996047142676,0.9236469651536133,0.003365841787298375,1.1100893231388516,8.837399192683557E-4,1.2315735377790953,-4.197017451904199E-4,-0.7973047050447233,-0.0012206328553197678,-0.10441252788966508,0.03701445555367598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.47,0.53,3,1763,905847,300,500,6,3.091097032180434E-4,0
12,21,23,0.3387633895203709,-4.438113493149864,0.16525672270881206,1.4862008132598827,0.11771976216612745,1.433375055874605,0.07489703049287226,1.4046643636233829,0.045052058655886316,1.4067488332918525,0.02441364849023771,1.3325439239007641,0.013863791661044714,1.1883879949251204,0.008957934859331704,1.1079185111986811,0.005470919051570138,1.2505615391178309,-0.003262674031278687,-1.311612632394354,-0.002621964173016362,-0.43214900413736557,-0.0026233184279698413,-0.03584271605741188,-0.003519660940675406,0.05966524871903602,-0.004522838499209281,0.1111586779291303,-0.0046949244221943945,0.006957872288949143,-0.004993020116934448,-0.12785887573496377,-0.005383714393086114,-0.2687893650990901,-0.004781870791772011,-0.37555561370165447,-0.004425970737205473,-0.49016267209621533,-0.004724473012186561,-0.6100578765466005,-0.004317284853314416,-0.6914118471427811,-0.0036593633024480806,-0.8962265501020946,-0.0034345465265625203,-1.0710651038697114,0.03019574094825296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.53,0.59,3,3214,1611518,300,500,7,3.7290024400817685E-4,0
