filter,r(x)_L/D_tot,r(x)_L/D_ab,r(x)_L/D_c,std_r(x)_L/D_tot,std_r(x)_L/D_ab,std_r(x)_L/D_c
0,0.8527841512177686,0.8576137603637323,0.8381395299364597,0.018142932021233297,0.01851040359482889,0.0017696300331316145
1,1.0099175502106477,1.0101988167496618,1.0090646774794434,0.0008084565449795888,0.0007184925757845772,0.00032073048264118887
2,1.044743578185346,1.0447516942778805,1.0447189680983062,0.0024242636128987585,0.002245050875299512,0.002900628231246022
3,1.052547261336655,1.0517426392577167,1.0549870831244041,0.004514265463396871,0.0040482773329495614,0.004955962958102147
4,0.9878727941299241,0.9917683556899383,0.9760604461737523,0.013255207498715267,0.012505293818191461,0.006980748973701413
5,1.0206799033259086,1.020832939891492,1.0202158569657533,0.003282590670813325,0.003632018510149471,0.0017783798924838113
